Date,Price,Open,High,Low,Vol.,Change %
12/26/2016,"1,151.70","1,135.30","1,164.30","1,132.80",522.84K,-0.10%
12/25/2016,"1,152.90","1,135.30","1,163.10","1,132.80",226.83K,1.70%
12/18/2016,"1,133.60","1,136.10","1,144.40","1,127.30",574.40K,-0.33%
12/11/2016,"1,137.40","1,161.40","1,168.00","1,124.30",984.30K,-2.11%
12/4/2016,"1,161.90","1,182.60","1,190.20","1,157.60",815.45K,-1.35%
11/27/2016,"1,177.80","1,185.60","1,198.40","1,162.20",874.88K,-0.15%
11/20/2016,"1,179.60","1,209.30","1,222.20","1,172.00",4.24K,-2.52%
11/13/2016,"1,210.10","1,229.80","1,234.10","1,204.00",2.28K,-1.26%
11/6/2016,"1,225.60","1,293.00","1,339.00","1,222.80",2.52K,-6.19%
10/30/2016,"1,306.50","1,277.90","1,310.70","1,275.00",0.73K,2.18%
10/23/2016,"1,278.60","1,266.90","1,277.50","1,260.10",574.10K,0.86%
10/16/2016,"1,267.70","1,252.90","1,275.90","1,251.10",642.10K,0.97%
10/9/2016,"1,255.50","1,258.50","1,266.80","1,246.90",753.37K,0.29%
10/2/2016,"1,251.90","1,321.00","1,322.60","1,243.20",1.16M,-4.95%
9/25/2016,"1,317.10","1,340.50","1,343.50","1,316.00",372.53K,-1.66%
9/18/2016,"1,339.30","1,310.40","1,343.60","1,309.00",2.65K,2.41%
9/11/2016,"1,307.80","1,327.00","1,332.10","1,307.00",0.88K,-1.82%
9/4/2016,"1,332.10","1,327.30","1,354.70","1,327.30",0.39K,0.54%
8/28/2016,"1,324.90","1,320.60","1,328.60","1,304.00",3.20K,0.17%
8/21/2016,"1,322.60","1,341.00","1,344.90","1,317.40",55.25K,-1.46%
8/14/2016,"1,342.20","1,339.10","1,360.00","1,336.80",26.36K,0.25%
8/7/2016,"1,338.90","1,336.30","1,359.00","1,330.60",34.34K,-0.04%
7/31/2016,"1,339.50","1,352.70","1,369.70","1,335.40",34.73K,-1.01%
7/24/2016,"1,353.10","1,323.80","1,357.40","1,314.30",29.62K,2.10%
7/17/2016,"1,325.30","1,333.30","1,340.70","1,312.90",4.10K,-0.30%
7/10/2016,"1,329.30","1,376.20","1,376.20","1,323.00",3.46K,-2.29%
7/3/2016,"1,360.50","1,347.00","1,378.50","1,338.60",6.59K,1.50%
6/26/2016,"1,340.40","1,322.30","1,346.80","1,308.20",454.79K,1.36%
6/19/2016,"1,322.40","1,293.00","1,362.60","1,252.80",1.26M,2.13%
6/12/2016,"1,294.80","1,278.30","1,318.90","1,275.20",1.16M,1.48%
6/5/2016,"1,275.90","1,245.50","1,280.90","1,236.90",779.24K,2.66%
5/29/2016,"1,242.90","1,215.10","1,247.40","1,201.50",749.07K,2.15%
5/22/2016,"1,216.70","1,252.90","1,257.60","1,209.00",206.45K,-3.01%
5/15/2016,"1,254.40","1,275.20","1,290.30","1,246.00",3.47K,-1.52%
5/8/2016,"1,273.80","1,288.40","1,290.50","1,261.20",1.17K,-1.64%
5/1/2016,"1,295.10","1,294.10","1,305.20","1,275.00",0.72K,0.28%
4/24/2016,"1,291.50","1,234.50","1,298.30","1,231.30",440.42K,5.00%
4/17/2016,"1,230.00","1,236.30","1,272.40","1,228.50",1.01M,-0.37%
4/10/2016,"1,234.60","1,241.80","1,264.70","1,225.40",800.23K,-0.74%
4/3/2016,"1,243.80","1,223.00","1,245.00","1,215.70",705.26K,1.66%
3/27/2016,"1,223.50","1,216.50","1,246.80","1,207.20",506.55K,0.11%
3/20/2016,"1,222.20","1,256.50","1,260.00","1,212.20",5.35K,-2.60%
3/13/2016,"1,254.80","1,251.00","1,272.00","1,226.80",1.06K,-0.40%
3/6/2016,"1,259.90","1,267.20","1,283.80","1,240.10",0.94K,-0.88%
2/28/2016,"1,271.10","1,220.20","1,279.60","1,220.20",0.28K,4.13%
2/21/2016,"1,220.70","1,226.90","1,254.30","1,202.50",827.92K,-0.82%
2/14/2016,"1,230.80","1,236.30","1,240.60","1,191.50",869.63K,-0.69%
2/7/2016,"1,239.40","1,174.00","1,263.90","1,164.50",1.17M,7.06%
1/31/2016,"1,157.70","1,118.00","1,175.00","1,115.30",817.59K,3.70%
1/24/2016,"1,116.40","1,098.00","1,128.00","1,097.90",286.78K,1.86%
1/17/2016,"1,096.00","1,089.70","1,109.10","1,082.00",2.39K,0.49%
1/10/2016,"1,090.70","1,106.00","1,107.30","1,071.30",1.19K,-0.67%
1/3/2016,"1,098.10","1,062.50","1,109.70","1,062.50",0.91K,3.55%
12/27/2015,"1,060.50","1,075.20","1,076.50","1,059.00",158.55K,-1.43%
12/20/2015,"1,075.90","1,065.20","1,081.40","1,063.10",321.93K,1.02%
12/13/2015,"1,065.00","1,073.00","1,077.90","1,046.80",671.21K,-0.99%
12/6/2015,"1,075.70","1,085.50","1,086.10","1,061.70",630.65K,-0.77%
11/29/2015,"1,084.10","1,056.00","1,088.30","1,045.40",741.43K,2.64%
11/22/2015,"1,056.20","1,075.00","1,080.00","1,051.60",188.56K,-1.87%
11/15/2015,"1,076.30","1,087.60","1,096.50","1,065.70",0.74K,-0.45%
11/8/2015,"1,081.20","1,089.00","1,093.30","1,074.60",0.44K,-0.63%
11/1/2015,"1,088.10","1,141.10","1,141.10","1,085.00",0.21K,-4.70%
10/25/2015,"1,141.80","1,163.80","1,183.10","1,139.30",363.84K,-1.81%
10/18/2015,"1,162.80","1,176.90","1,181.40","1,158.60",623.68K,-1.72%
10/11/2015,"1,183.10","1,155.00","1,191.70","1,151.30",752.51K,2.35%
10/4/2015,"1,155.90","1,137.00","1,159.30","1,129.60",616.86K,1.70%
9/27/2015,"1,136.60","1,146.90","1,146.90","1,103.80",535.62K,-0.79%
9/20/2015,"1,145.60","1,138.30","1,154.90","1,121.00",0.63K,0.67%
9/13/2015,"1,138.00","1,107.40","1,139.50","1,102.50",0.11K,3.15%
9/6/2015,"1,103.30","1,117.50","1,124.50","1,103.90",0.07K,-1.59%
8/30/2015,"1,121.10","1,127.70","1,141.00","1,117.50",0.07K,-1.11%
8/23/2015,"1,133.70","1,159.20","1,169.10","1,116.60",40.11K,-2.20%
8/16/2015,"1,159.20","1,113.20","1,167.00","1,108.40",37.21K,4.21%
8/9/2015,"1,112.40","1,092.80","1,126.00","1,088.80",26.92K,1.70%
8/2/2015,"1,093.80","1,094.50","1,098.70","1,079.80",23.27K,-0.08%
7/26/2015,"1,094.70","1,099.70","1,104.20","1,079.10",20.00K,0.83%
7/19/2015,"1,085.70","1,131.30","1,131.40","1,073.00",4.41K,-4.11%
7/12/2015,"1,132.20","1,161.80","1,163.40","1,130.20",1.64K,-2.26%
7/5/2015,"1,158.40","1,164.50","1,174.10","1,146.60",1.08K,0.04%
7/2/2015,"1,157.90","1,173.20","1,174.40","1,145.90",751.02K,-0.53%
6/28/2015,"1,164.10","1,177.50","1,177.90","1,157.20",0.07K,-0.78%
6/21/2015,"1,173.20","1,199.70","1,200.80","1,167.10",564.61K,-2.39%
6/14/2015,"1,201.90","1,180.00","1,205.70","1,171.90",608.32K,1.93%
6/7/2015,"1,179.20","1,170.80","1,191.80","1,168.50",524.68K,0.95%
5/31/2015,"1,168.10","1,189.80","1,204.70","1,162.10",713.04K,-1.82%
5/24/2015,"1,189.80","1,205.70","1,208.50","1,180.20",253.35K,-1.21%
5/17/2015,"1,204.40","1,224.00","1,232.30","1,202.00",1.42K,-1.75%
5/10/2015,"1,225.80","1,189.30","1,226.80","1,180.10",0.38K,3.06%
5/3/2015,"1,189.40","1,178.10","1,197.80","1,177.50",0.13K,1.23%
4/26/2015,"1,175.00","1,179.30","1,214.90","1,171.20",364.84K,0.00%
4/19/2015,"1,175.00","1,204.40","1,209.00","1,174.10",668.39K,-2.34%
4/12/2015,"1,203.10","1,207.20","1,209.30","1,183.50",668.77K,-0.12%
4/5/2015,"1,204.60","1,212.60","1,224.50","1,192.40",543.19K,0.31%
3/29/2015,"1,200.90","1,198.60","1,208.70","1,178.20",513.20K,0.05%
3/22/2015,"1,200.30","1,183.90","1,219.70","1,179.20",3.35K,1.29%
3/15/2015,"1,185.00","1,157.00","1,186.70","1,142.50",0.94K,2.79%
3/8/2015,"1,152.80","1,170.00","1,174.50","1,147.10",0.70K,-1.03%
3/1/2015,"1,164.80","1,219.00","1,219.00","1,167.00",0.10K,-4.01%
2/22/2015,"1,213.50","1,203.50","1,215.90","1,190.00",337.92K,0.71%
2/15/2015,"1,204.90","1,227.50","1,236.70","1,197.20",527.94K,-1.81%
2/8/2015,"1,227.10","1,235.90","1,245.90","1,216.50",511.85K,-0.61%
2/1/2015,"1,234.60","1,283.00","1,286.50","1,228.20",756.98K,-3.49%
1/25/2015,"1,279.20","1,295.70","1,299.70","1,252.10",410.75K,-1.08%
1/18/2015,"1,293.20","1,280.10","1,307.40","1,273.80",2.55K,1.24%
1/11/2015,"1,277.40","1,225.30","1,281.90","1,218.90",2.02K,5.01%
1/4/2015,"1,216.50","1,196.40","1,223.70","1,189.10",0.65K,2.52%
12/28/2014,"1,186.60","1,194.90","1,199.60","1,171.60",85.94K,-0.73%
12/21/2014,"1,195.30","1,196.00","1,203.60","1,170.70",348.50K,-0.06%
12/14/2014,"1,196.00","1,222.00","1,225.00","1,182.00",764.07K,-2.17%
12/7/2014,"1,222.50","1,191.20","1,239.00","1,187.30",756.93K,2.70%
11/30/2014,"1,190.40","1,159.40","1,221.00","1,141.70",931.69K,1.27%
11/23/2014,"1,175.50","1,201.40","1,203.50","1,163.90",377.76K,-1.88%
11/16/2014,"1,198.00","1,182.80","1,207.00","1,175.00",2.56K,1.02%
11/9/2014,"1,185.90","1,177.90","1,193.10","1,147.50",1.30K,1.34%
,,,,,,
